"Date","Price","Open","High","Low","Vol.","Change %"
"09/23/2025","219.466","220.329","221.360","212.551","5.76M","-0.43%"
"09/22/2025","220.419","236.021","236.896","216.568","9.03M","-6.70%"
"09/21/2025","236.249","239.402","241.773","235.409","2.03M","-1.36%"
"09/20/2025","239.504","238.520","241.126","236.974","2.17M","0.41%"
"09/19/2025","238.537","247.897","248.541","235.458","5.16M","-3.64%"
"09/18/2025","247.553","244.666","253.379","242.616","6.20M","1.13%"
"09/17/2025","244.795","236.726","246.544","232.384","7.25M","3.31%"
"09/16/2025","236.946","234.218","240.899","231.403","5.18M","1.11%"
"09/15/2025","234.352","240.089","243.997","230.259","7.41M","-2.31%"
"09/14/2025","239.896","242.484","249.543","239.621","6.74M","-1.03%"
"09/13/2025","242.403","242.043","244.143","236.145","5.42M","0.07%"
"09/12/2025","242.226","228.655","243.867","228.146","9.59M","5.92%"
"09/11/2025","228.692","224.098","228.913","221.744","6.33M","2.05%"
"09/10/2025","224.095","217.479","225.734","215.145","7.24M","3.19%"
"09/09/2025","217.177","214.344","219.723","210.934","7.19M","1.43%"
"09/08/2025","214.122","206.280","217.014","205.655","8.36M","3.75%"
"09/07/2025","206.390","200.174","207.904","200.148","3.32M","3.10%"
"09/06/2025","200.176","203.229","204.633","199.491","2.29M","-1.57%"
"09/05/2025","203.365","202.546","210.000","201.085","6.12M","0.51%"
"09/04/2025","202.327","210.832","211.931","201.912","4.06M","-4.02%"
"09/03/2025","210.803","209.370","212.938","207.454","5.70M","0.57%"
"09/02/2025","209.604","197.142","209.604","196.824","7.51M","6.26%"
"09/01/2025","197.249","200.373","204.427","194.216","6.48M","-1.71%"
"08/31/2025","200.675","202.859","206.579","200.363","4.48M","-1.00%"
"08/30/2025","202.710","204.772","207.018","197.654","5.29M","-1.08%"
"08/29/2025","204.927","214.358","217.927","200.032","13.22M","-4.43%"
"08/28/2025","214.421","203.284","216.455","201.773","11.51M","5.69%"
"08/27/2025","202.877","195.794","212.022","193.861","12.40M","3.60%"
"08/26/2025","195.835","186.867","198.046","185.804","7.60M","4.62%"
"08/25/2025","187.192","206.146","213.382","185.637","12.69M","-9.07%"
"08/24/2025","205.871","204.434","211.921","201.552","10.94M","0.85%"
"08/23/2025","204.144","200.697","208.296","195.296","7.50M","1.72%"
"08/22/2025","200.688","180.648","202.079","177.391","9.99M","11.31%"
"08/21/2025","180.291","187.858","189.938","179.469","5.13M","-4.07%"
"08/20/2025","187.950","176.627","187.950","176.108","5.47M","6.63%"
"08/19/2025","176.268","182.808","185.788","175.804","5.04M","-3.63%"
"08/18/2025","182.916","191.099","191.320","180.121","5.26M","-4.25%"
"08/17/2025","191.032","189.637","195.765","187.453","3.55M","0.73%"
"08/16/2025","189.652","185.584","190.006","185.252","3.02M","2.07%"
"08/15/2025","185.811","192.392","198.062","183.487","6.49M","-3.47%"
"08/14/2025","192.498","201.463","209.798","187.554","13.79M","-4.43%"
"08/13/2025","201.419","191.537","204.871","191.487","10.69M","5.04%"
"08/12/2025","191.747","175.161","193.680","173.725","7.41M","9.67%"
"08/11/2025","174.836","182.452","186.774","173.530","6.28M","-4.31%"
"08/10/2025","182.703","180.041","186.167","177.588","6.57M","1.53%"
"08/09/2025","179.954","176.841","183.278","176.692","5.50M","1.80%"
"08/08/2025","176.765","175.152","179.516","173.504","6.03M","0.78%"
"08/07/2025","175.400","168.037","175.477","166.748","4.98M","4.34%"
"08/06/2025","168.104","163.916","169.891","161.281","3.62M","2.43%"
"08/05/2025","164.111","169.459","171.674","161.535","4.62M","-3.22%"
"08/04/2025","169.579","161.966","169.783","161.291","4.65M","4.69%"
"08/03/2025","161.980","158.728","163.067","156.386","3.42M","2.20%"
"08/02/2025","158.497","163.019","165.244","155.902","3.74M","-2.60%"
"08/01/2025","162.722","172.094","172.148","159.577","7.51M","-5.52%"
"07/31/2025","172.228","177.686","182.630","171.481","4.42M","-3.10%"
"07/30/2025","177.739","181.337","182.526","171.481","4.94M","-2.06%"
"07/29/2025","181.470","182.924","186.567","178.409","3.95M","-0.83%"
"07/28/2025","182.995","188.337","195.001","182.273","6.19M","-2.99%"
"07/27/2025","188.626","184.789","190.605","184.585","3.50M","2.04%"
"07/26/2025","184.855","186.629","189.762","184.452","2.85M","-1.03%"
"07/25/2025","186.772","182.585","186.798","175.922","7.72M","2.14%"
"07/24/2025","182.864","189.131","191.873","179.425","8.09M","-3.44%"
"07/23/2025","189.385","204.971","205.277","184.421","8.65M","-7.96%"
"07/22/2025","205.762","196.076","206.164","194.121","13.15M","5.14%"
"07/21/2025","195.697","181.465","199.020","178.411","10.84M","7.80%"
"07/20/2025","181.529","177.054","183.585","176.399","6.46M","2.54%"
"07/19/2025","177.038","177.193","178.609","174.125","3.97M","-0.13%"
"07/18/2025","177.272","175.967","184.475","173.375","8.96M","0.80%"
"07/17/2025","175.867","173.723","178.070","168.787","7.68M","1.24%"
"07/16/2025","173.707","163.796","175.955","161.602","8.92M","5.92%"
"07/15/2025","164.001","162.117","164.191","157.296","6.26M","1.08%"
"07/14/2025","162.251","160.987","168.544","160.668","6.74M","0.69%"
"07/13/2025","161.132","160.607","164.114","159.667","3.39M","0.27%"
"07/12/2025","160.693","162.930","163.897","157.974","3.52M","-1.38%"
"07/11/2025","162.947","164.153","168.184","159.692","7.32M","-0.83%"
"07/10/2025","164.307","157.087","165.350","155.977","5.89M","4.62%"
"07/09/2025","157.055","151.614","157.898","150.568","4.77M","3.55%"
"07/08/2025","151.675","148.810","152.815","147.873","3.73M","1.87%"
"07/07/2025","148.890","151.884","153.445","147.712","3.41M","-1.96%"
"07/06/2025","151.871","147.580","153.704","146.800","3.25M","2.92%"
"07/05/2025","147.560","147.601","148.641","145.917","1.59M","-0.10%"
"07/04/2025","147.705","152.379","153.680","145.266","3.28M","-3.06%"
"07/03/2025","152.366","152.300","156.281","150.015","4.29M","0.06%"
"07/02/2025","152.280","146.825","154.403","145.960","5.15M","3.65%"
"07/01/2025","146.920","154.979","155.482","144.953","4.77M","-5.12%"
"06/30/2025","154.841","153.343","159.511","149.500","7.16M","0.97%"
"06/29/2025","153.350","150.874","154.660","149.402","3.29M","1.74%"
"06/28/2025","150.723","142.057","152.518","141.174","3.95M","6.07%"
