"Date","Price","Open","High","Low","Vol.","Change %"
"08/12/2025","0.9997","1.0001","1.0002","0.9996","317.64M","-0.03%"
"08/11/2025","1.0001","1.0002","1.0005","0.9997","484.23M","-0.01%"
"08/10/2025","1.0002","1.0003","1.0004","1.0000","132.23M","-0.01%"
"08/09/2025","1.0003","1.0007","1.0007","1.0000","153.27M","-0.01%"
"08/08/2025","1.0003","1.0006","1.0009","1.0001","423.11M","0.00%"
"08/07/2025","1.0003","1.0003","1.0005","1.0001","488.98M","0.00%"
"08/06/2025","1.0003","1.0000","1.0003","1.0000","209.27M","0.03%"
"08/05/2025","1.0000","1.0000","1.0003","0.9997","320.51M","0.00%"
"08/04/2025","1.0000","1.0010","1.0011","0.9999","262.62M","-0.06%"
"08/03/2025","1.0006","1.0008","1.0008","1.0004","126.05M","0.04%"
"08/02/2025","1.0002","0.9998","1.0005","0.9998","119.52M","0.04%"
"08/01/2025","0.9998","1.0000","1.0003","0.9996","342.26M","-0.02%"
"07/31/2025","1.0000","1.0001","1.0004","0.9997","272.15M","-0.01%"
"07/30/2025","1.0001","0.9999","1.0002","0.9998","246.51M","0.02%"
"07/29/2025","0.9999","1.0000","1.0001","0.9997","489.90M","-0.01%"
"07/28/2025","1.0000","1.0002","1.0004","0.9998","415.39M","-0.02%"
"07/27/2025","1.0002","1.0003","1.0005","1.0001","180.93M","-0.01%"
"07/26/2025","1.0003","1.0000","1.0005","1.0000","472.24M","0.03%"
"07/25/2025","1.0000","1.0004","1.0006","1.0000","1.10B","-0.04%"
"07/24/2025","1.0004","1.0004","1.0008","1.0003","504.02M","0.01%"
"07/23/2025","1.0004","1.0004","1.0006","1.0002","419.13M","0.00%"
"07/22/2025","1.0004","1.0003","1.0006","1.0002","511.05M","0.00%"
"07/21/2025","1.0003","1.0003","1.0006","1.0000","389.80M","0.00%"
"07/20/2025","1.0003","1.0003","1.0005","1.0002","217.73M","-0.01%"
"07/19/2025","1.0005","1.0007","1.0008","1.0002","394.66M","0.00%"
"07/18/2025","1.0005","1.0007","1.0009","1.0001","732.34M","-0.01%"
"07/17/2025","1.0006","1.0004","1.0007","1.0000","880.08M","0.02%"
"07/16/2025","1.0004","1.0001","1.0006","1.0000","802.37M","0.03%"
"07/15/2025","1.0001","1.0001","1.0002","0.9997","528.93M","0.00%"
"07/14/2025","1.0001","0.9990","1.0002","0.9989","556.76M","0.01%"
"07/13/2025","1.0000","0.9995","1.0001","0.9994","265.39M","0.00%"
"07/12/2025","1.0000","1.0000","1.0001","0.9996","210.38M","0.00%"
"07/11/2025","1.0000","1.0000","1.0003","0.9998","460.12M","0.00%"
"07/10/2025","1.0000","1.0004","1.0007","0.9999","708.74M","-0.04%"
"07/09/2025","1.0004","1.0002","1.0005","1.0000","357.25M","0.02%"
"07/08/2025","1.0002","1.0001","1.0003","1.0001","222.94M","0.01%"
"07/07/2025","1.0001","1.0006","1.0008","1.0000","250.20M","-0.01%"
"07/06/2025","1.0002","1.0005","1.0006","1.0001","106.84M","0.00%"
"07/05/2025","1.0001","1.0003","1.0010","1.0001","149.10M","-0.02%"
"07/04/2025","1.0003","1.0003","1.0006","1.0001","283.73M","0.00%"
"07/03/2025","1.0003","1.0004","1.0008","1.0002","331.67M","-0.01%"
"07/02/2025","1.0004","1.0006","1.0016","1.0003","443.06M","-0.01%"
"07/01/2025","1.0006","1.0006","1.0013","1.0004","420.95M","0.02%"
"06/30/2025","1.0004","1.0001","1.0005","1.0001","246.74M","0.03%"
"06/29/2025","1.0001","1.0002","1.0003","1.0001","112.06M","-0.02%"
"06/28/2025","1.0003","1.0004","1.0004","1.0001","143.22M","-0.01%"
"06/27/2025","1.0003","1.0004","1.0004","1.0002","317.50M","0.00%"
"06/26/2025","1.0004","1.0004","1.0005","1.0002","349.37M","-0.01%"
"06/25/2025","1.0005","1.0004","1.0005","1.0003","401.42M","0.01%"
"06/24/2025","1.0004","1.0007","1.0013","1.0003","548.76M","-0.03%"
"06/23/2025","1.0007","1.0011","1.0017","1.0005","610.49M","-0.03%"
"06/22/2025","1.0011","1.0004","1.0012","1.0004","316.92M","0.06%"
"06/21/2025","1.0004","1.0001","1.0006","1.0001","154.61M","0.03%"
"06/20/2025","1.0001","1.0003","1.0007","1.0000","294.99M","-0.02%"
"06/19/2025","1.0003","1.0005","1.0010","1.0003","148.10M","-0.02%"
"06/18/2025","1.0005","1.0008","1.0009","1.0003","346.39M","0.02%"
