"Date","Price","Open","High","Low","Vol.","Change %"
"07/28/2025","824.00","843.60","860.70","820.91","31.67M","-2.32%"
"07/27/2025","843.59","793.00","846.89","791.20","20.65M","6.38%"
"07/26/2025","793.00","785.40","797.90","778.40","10.21M","0.97%"
"07/25/2025","785.40","770.30","785.70","752.40","28.34M","1.96%"
"07/24/2025","770.30","776.70","785.99","743.00","34.15M","-0.87%"
"07/23/2025","777.10","787.50","809.60","752.88","53.40M","-1.26%"
"07/22/2025","787.00","766.70","788.19","745.20","39.96M","2.73%"
"07/21/2025","766.10","756.80","781.80","746.30","27.69M","1.19%"
"07/20/2025","757.10","733.10","760.70","731.50","19.80M","3.29%"
"07/19/2025","733.00","729.89","742.20","719.20","14.40M","0.38%"
"07/18/2025","730.20","720.89","765.09","719.00","32.98M","1.32%"
"07/17/2025","720.70","708.80","727.70","707.30","28.70M","1.78%"
"07/16/2025","708.10","689.80","715.40","685.30","14.99M","2.64%"
"07/15/2025","689.90","688.70","693.00","675.31","12.05M","0.12%"
"07/14/2025","689.10","691.90","707.30","686.20","12.59M","-0.40%"
"07/13/2025","691.90","685.70","694.00","685.10","7.70M","0.90%"
"07/12/2025","685.70","690.00","696.90","679.61","8.60M","-0.61%"
"07/11/2025","689.90","685.50","697.20","682.80","14.24M","0.61%"
"07/10/2025","685.70","669.10","687.70","667.10","11.02M","2.54%"
"07/09/2025","668.70","660.70","671.30","659.20","11.03M","1.23%"
"07/08/2025","660.60","661.10","662.50","657.40","5.38M","-0.06%"
"07/07/2025","661.00","663.10","663.20","656.80","6.50M","-0.30%"
"07/06/2025","663.00","656.10","664.90","653.50","5.31M","1.07%"
"07/05/2025","656.00","653.50","656.70","651.90","4.61M","0.38%"
"07/04/2025","653.50","663.90","664.10","650.20","7.00M","-1.51%"
"07/03/2025","663.50","659.90","664.40","656.70","7.19M","0.59%"
"07/02/2025","659.60","646.40","664.80","643.92","5.62M","2.07%"
"07/01/2025","646.20","657.20","659.39","644.00","4.03M","-1.63%"
"06/30/2025","656.90","655.10","660.09","651.40","4.79M","0.34%"
"06/29/2025","654.70","648.50","655.90","646.90","4.61M","0.97%"
"06/28/2025","648.40","645.50","649.10","644.30","3.09M","0.40%"
"06/27/2025","645.80","642.20","648.10","639.30","3.87M","0.53%"
"06/26/2025","642.40","646.00","649.90","641.20","6.87M","-0.53%"
"06/25/2025","645.80","643.50","652.38","641.90","12.46M","0.36%"
"06/24/2025","643.50","640.80","644.10","636.10","6.33M","0.48%"
"06/23/2025","640.40","615.90","642.60","615.00","12.52M","3.98%"
"06/22/2025","615.90","629.00","635.30","601.21","19.42M","-2.08%"
"06/21/2025","629.00","641.60","644.90","622.10","8.60M","-1.96%"
"06/20/2025","641.60","644.70","649.70","638.10","7.82M","-0.47%"
"06/19/2025","644.60","644.70","646.40","638.50","5.46M","0.00%"
"06/18/2025","644.60","647.90","653.90","637.50","8.75M","-0.51%"
"06/17/2025","647.90","650.10","658.80","640.20","10.06M","-0.38%"
"06/16/2025","650.40","648.10","659.30","646.20","8.44M","0.35%"
"06/15/2025","648.10","645.50","651.70","642.70","5.37M","0.40%"
"06/14/2025","645.50","655.30","655.30","638.90","7.35M","-1.50%"
"06/13/2025","655.30","654.10","659.40","639.21","15.34M","0.08%"
"06/12/2025","654.81","667.40","669.89","651.90","13.51M","-1.89%"
"06/11/2025","667.40","673.30","674.10","662.41","13.55M","-0.91%"
"06/10/2025","673.50","665.60","673.80","657.20","11.21M","1.19%"
"06/09/2025","665.60","651.90","667.80","648.00","8.78M","2.10%"
"06/08/2025","651.90","650.80","656.10","646.40","5.74M","0.18%"
"06/07/2025","650.70","643.19","653.80","640.00","7.48M","1.26%"
"06/06/2025","642.60","633.40","651.10","629.41","11.16M","1.45%"
"06/05/2025","633.40","663.30","670.80","625.80","17.36M","-4.49%"
"06/04/2025","663.20","661.50","671.60","660.70","12.73M","0.27%"
"06/03/2025","661.40","665.70","673.20","657.30","13.99M","-0.65%"
"06/02/2025","665.70","660.70","666.80","649.70","13.80M","0.76%"
"06/01/2025","660.70","657.90","662.40","647.30","11.60M","0.43%"
"05/31/2025","657.90","655.20","661.20","645.50","14.54M","0.47%"
"05/30/2025","654.80","675.10","678.30","653.20","24.74M","-3.01%"
"05/29/2025","675.10","687.00","691.00","673.10","21.67M","-1.69%"
"05/28/2025","686.70","687.00","689.30","680.00","20.63M","-0.03%"
"05/27/2025","686.90","674.20","697.21","666.41","19.58M","1.88%"
"05/26/2025","674.20","669.10","677.50","668.00","12.49M","0.76%"
"05/25/2025","669.10","667.90","671.40","657.40","15.67M","0.18%"
"05/24/2025","667.90","656.60","676.80","655.30","11.92M","1.72%"
"05/23/2025","656.60","686.31","691.30","653.80","23.89M","-4.33%"
"05/22/2025","686.30","673.49","688.91","673.20","20.77M","1.95%"
"05/21/2025","673.20","650.10","677.89","648.70","15.74M","3.55%"
"05/20/2025","650.10","649.60","653.70","640.40","8.28M","0.11%"
"05/19/2025","649.40","650.91","653.20","633.70","10.10M","-0.34%"
"05/18/2025","651.60","639.50","655.00","634.40","8.84M","1.92%"
"05/17/2025","639.30","646.20","646.70","634.71","7.52M","-1.11%"
"05/16/2025","646.50","651.61","659.70","643.71","9.69M","-0.78%"
"05/15/2025","651.60","652.20","660.89","642.30","11.34M","-0.11%"
"05/14/2025","652.30","664.59","666.10","647.20","10.39M","-1.79%"
"05/13/2025","664.20","660.00","671.01","640.81","10.71M","0.64%"
"05/12/2025","660.00","650.70","692.31","647.61","21.63M","1.40%"
"05/11/2025","650.91","662.60","668.49","648.11","12.16M","-1.96%"
"05/10/2025","663.90","666.61","678.00","648.90","18.71M","-0.39%"
"05/09/2025","666.51","629.30","669.71","623.60","20.19M","5.91%"
"05/08/2025","629.30","602.41","629.30","600.70","15.07M","4.43%"
"05/07/2025","602.60","602.50","609.00","597.80","10.91M","0.00%"
"05/06/2025","602.60","597.41","603.20","593.30","7.48M","0.87%"
"05/05/2025","597.41","585.81","599.90","583.70","6.16M","1.98%"
"05/04/2025","585.81","599.20","600.40","584.70","3.94M","-2.23%"
"05/03/2025","599.20","600.80","601.30","595.40","4.44M","-0.27%"
"05/02/2025","600.80","599.60","603.60","595.50","5.75M","0.20%"
"05/01/2025","599.60","599.71","605.39","598.20","4.81M","-0.02%"
"04/30/2025","599.71","600.90","604.59","591.71","6.09M","-0.20%"
"04/29/2025","600.91","606.50","610.60","598.01","7.19M","-0.86%"
"04/28/2025","606.10","603.40","608.10","598.21","5.68M","0.42%"
"04/27/2025","603.60","607.50","608.60","597.30","4.67M","-0.63%"
"04/26/2025","607.40","600.39","609.10","599.40","5.06M","1.20%"
"04/25/2025","600.20","601.30","610.11","597.20","7.64M","-0.23%"
"04/24/2025","601.60","605.90","606.90","592.91","8.46M","-0.66%"
"04/23/2025","605.60","618.50","619.90","601.40","12.35M","-2.09%"
"04/22/2025","618.50","597.40","619.80","595.01","9.71M","3.53%"
"04/21/2025","597.40","592.70","608.59","592.40","7.83M","0.81%"
"04/20/2025","592.60","591.60","595.79","587.60","9.52M","0.17%"
"04/19/2025","591.60","591.60","594.40","588.01","2.98M","-0.03%"
"04/18/2025","591.80","590.40","595.81","587.40","5.11M","0.24%"
"04/17/2025","590.40","582.70","593.00","580.90","5.29M","1.32%"
"04/16/2025","582.70","579.50","585.81","576.10","6.03M","0.55%"
"04/15/2025","579.50","584.60","590.80","579.30","5.62M","-0.84%"
"04/14/2025","584.40","584.10","593.00","583.10","6.47M","0.07%"
"04/13/2025","584.00","597.30","598.21","580.51","5.65M","-2.23%"
"04/12/2025","597.30","585.90","600.30","583.81","8.39M","1.93%"
"04/11/2025","586.00","578.00","590.20","575.80","5.65M","1.37%"
"04/10/2025","578.10","582.60","582.60","566.30","12.26M","-0.77%"
"04/09/2025","582.60","553.60","585.80","534.41","32.46M","5.24%"
"04/08/2025","553.60","554.50","565.60","547.71","10.45M","-0.16%"
