"Date","Price","Open","High","Low","Vol.","Change %"
"04/24/2025","1,769.53","1,795.05","1,802.47","1,725.56","552.53K","-1.42%"
"04/23/2025","1,795.07","1,756.94","1,831.23","1,745.53","987.58K","2.22%"
"04/22/2025","1,756.11","1,578.44","1,767.10","1,545.34","1.22M","11.18%"
"04/21/2025","1,579.59","1,587.00","1,655.82","1,569.22","765.65K","-0.48%"
"04/20/2025","1,587.28","1,613.18","1,618.94","1,566.80","313.17K","-1.57%"
"04/19/2025","1,612.58","1,587.98","1,627.50","1,585.19","254.25K","1.49%"
"04/18/2025","1,588.93","1,584.61","1,600.54","1,573.76","227.75K","0.39%"
"04/17/2025","1,582.73","1,577.85","1,615.99","1,563.87","509.34K","0.35%"
"04/16/2025","1,577.14","1,587.39","1,611.43","1,539.11","687.09K","-0.73%"
"04/15/2025","1,588.80","1,625.32","1,660.34","1,584.81","543.64K","-2.15%"
"04/14/2025","1,623.73","1,596.46","1,690.44","1,596.14","747.30K","1.62%"
"04/13/2025","1,597.77","1,643.09","1,648.38","1,566.77","665.93K","-2.82%"
"04/12/2025","1,644.12","1,566.90","1,666.39","1,546.84","570.51K","4.94%"
"04/11/2025","1,566.77","1,519.63","1,587.87","1,507.56","653.52K","2.93%"
"04/10/2025","1,522.13","1,669.39","1,669.39","1,475.06","1.03M","-8.84%"
"04/09/2025","1,669.74","1,473.05","1,685.53","1,388.12","2.13M","13.33%"
"04/08/2025","1,473.40","1,550.31","1,618.47","1,450.32","990.64K","-5.13%"
"04/07/2025","1,553.01","1,585.21","1,633.22","1,422.80","2.35M","-1.75%"
"04/06/2025","1,580.65","1,805.11","1,816.30","1,539.45","1.08M","-12.50%"
"04/05/2025","1,806.47","1,816.96","1,827.20","1,767.51","224.66K","-0.54%"
"04/04/2025","1,816.36","1,816.86","1,835.30","1,760.71","641.06K","-0.01%"
"04/03/2025","1,816.53","1,795.92","1,844.01","1,752.70","566.79K","1.17%"
"04/02/2025","1,795.59","1,905.00","1,953.57","1,783.01","821.61K","-5.74%"
"04/01/2025","1,904.99","1,822.41","1,925.72","1,818.07","499.06K","4.56%"
"03/31/2025","1,821.95","1,808.04","1,851.59","1,778.51","558.43K","0.83%"
"03/30/2025","1,807.02","1,828.23","1,848.78","1,773.41","371.08K","-1.14%"
"03/29/2025","1,827.84","1,896.93","1,912.79","1,801.47","455.60K","-3.63%"
"03/28/2025","1,896.69","2,002.95","2,015.96","1,864.56","694.86K","-5.34%"
"03/27/2025","2,003.67","2,009.58","2,036.74","1,988.10","396.46K","-0.29%"
"03/26/2025","2,009.59","2,066.19","2,078.19","1,982.60","474.96K","-2.74%"
"03/25/2025","2,066.19","2,081.24","2,094.94","2,038.55","364.91K","-0.60%"
"03/24/2025","2,078.73","2,006.00","2,101.23","1,978.62","528.63K","3.62%"
"03/23/2025","2,006.02","1,980.78","2,019.69","1,977.07","296.95K","1.27%"
"03/22/2025","1,980.80","1,965.74","2,005.80","1,965.45","185.64K","0.77%"
"03/21/2025","1,965.58","1,983.94","1,996.73","1,938.55","291.89K","-0.91%"
"03/20/2025","1,983.57","2,056.11","2,066.45","1,952.95","433.71K","-3.55%"
"03/19/2025","2,056.62","1,931.79","2,069.43","1,927.77","743.84K","6.42%"
"03/18/2025","1,932.61","1,926.94","1,934.56","1,873.19","353.90K","0.32%"
"03/17/2025","1,926.35","1,886.66","1,951.93","1,880.49","362.87K","2.05%"
